NOM	ADREÇA	DISTRICTE	C. P.	POBLACIÓ	PAÍS	Telèfon 1	Telèfon 2	WEB	E-MAIL	LATITUD	LONGITUD	INFO EXTRA 1	INFO EXTRA 2	INFO EXTRA 3
Bar Restaurant Habana Barcelona	C Escar 1	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932250263	+34 932214467	http://www.habanabarcelona.com	habanabarcelona@habanabarcelona.com	41.37539852222222	2.18853675
 Fresh	C Balmes 193	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 934156224				41.39700243055555	2.1522896666666664
Bar Pinocho	la Rambla 101	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933171731				41.38267368611111	2.171678722222222
Col·legi d'Arquitectes de Catalunya	Pl Nova 5	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933067850	+34 933015000			41.38444698611111	2.175041361111111
Bar Glüh	Verdaguer i Callís 6	Ciutat Vella	08003	BARCELONA	ESPANYA					41.38692916666667	2.1761466388888886
Bar Mandarina	Diputació 157	Eixample	08011	BARCELONA	ESPANYA	+34 933233393				41.38415379722222	2.158560222222222
Bar Restaurant El Último Agave	C Aragó 193	Eixample	08011	BARCELONA	ESPANYA	+34 934549343		http://www.elultimoagave.com	elultimoagave@elultimoagave.com	41.38786373055556	2.1588890277777777
Restaurant Candela Raval	C Hospital 48	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933010813		http://www.candelaraval.com	info@candelaraval.com	41.38072328888889	2.1711486944444442
Hotel Claris	C Pau Claris 150	Eixample	08009	BARCELONA	ESPANYA	+34 934874647	+34 934876262	http://www.derbyhotels.es	east47.bcn@derbyhotels.es	41.39445991388889	2.165013194444444
Restaurant Japonès Misaki	C Aribau 40	Eixample	08011	BARCELONA	ESPANYA	+34 934513393				41.38759699444444	2.1605608333333333
Restaurant La Locanda	C Doctor Joaquim Pou 4	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933174609		http://www.restaurantelalocanda.com		41.38595585	2.1755125555555552
Gran Hotel Havana Barcelona	G.V. Corts Catalanes 647	Eixample	08010	BARCELONA	ESPANYA	+34 934121115	+34 934122611	http://www.grandhotelhavana.com		41.39270169444445	2.1721956944444445
Restaurant Fresc Co *Av Diagonal/Muntaner	Av Diagonal 449	Eixample	08036	BARCELONA	ESPANYA	+34 934106106	+34 933016837	http://www.frescco.com	frescco@frescco.com	41.39360134166667	2.1489241666666667
Restaurant Xinès Hecheng	Entença 12	Eixample	08015	BARCELONA	ESPANYA	+34 933252349				41.375703025	2.155971611111111
Restaurant Eterna	C Consell de Cent 127-129	Eixample	08015	BARCELONA	ESPANYA	+34 93 424 2526	+34 93 423 5075	http://www.restauranteeterna.com	info@restauranteeterna.com	41.38174175555556	2.1528230833333333
Restaurant Kailash	C Xifré 100	Sant Martí	08026	BARCELONA	ESPANYA	+34 934330766			tibkailash@hotmail.com	41.41133651944444	2.1804401388888888
Free Girls	Marià Cubí 4	Sarrià-Sant Gervasi	08006	BARCELONA	ESPANYA	+34 932172296				41.39936953055555	2.151432388888889
Bulería Café-bar	Aribau 66	Eixample	08011	BARCELONA	ESPANYA	+34 934531019				41.38879096944444	2.158984611111111
Restaurant Can Cargol	C València 324	Eixample	08009	BARCELONA	ESPANYA	+34 934589631	+34 934580017			41.39548459444445	2.167451972222222
Restaurant Hisop	Ptge Marimon 9	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932413233	+34 932413233	http://www.hisop.com	hisop@hisop.com	41.39445760833333	2.1480123333333334
Cafè Just	Sots-tinent Navarro 18	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933106456				41.38267685277778	2.1796073333333332
Restaurant Can Seixanta *Pau Claris	C Pau Claris 128	Eixample	08009	BARCELONA	ESPANYA	+34 934879581				41.39298624166667	2.1669573055555555
Restaurant Tívoli Tercer Mil·lenni	C Rector Ubach 25*27	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932090381	+34 932001304	http://www.tivoli-bcn.com		41.39807938888889	2.1436165
Bar Imagine	Aribau 153	Eixample	08036	BARCELONA	ESPANYA	+34 933225390				41.392690277777774	2.1534565
Bar Prelude	Provença 277	Eixample	08037	BARCELONA	ESPANYA	+34 934879445				41.39613634166667	2.1631571944444445
Restaurant Litoral	Pescadors 87	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932212209	+34 932214812			41.376059347222224	2.1900202777777777
Restaurant Bona Tapa	Pg Fabra i Puig 148	Nou Barris	08016	BARCELONA	ESPANYA	+34 933491372				41.43035123888889	2.180571361111111
 Tea Company	Pg Fabra i Puig 276	Nou Barris	08031	BARCELONA	ESPANYA	+34 933577957				41.430457141666665	2.1732158611111108
Restaurant Melton	C Muntaner 189	Eixample	08036	BARCELONA	ESPANYA	+34 933632776	+34 933632776	http://www.restauran-melton.com		41.392861583333335	2.1509643888888887
Cafeteria Restaurant Zelig	C Carme 116	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 934415622				41.37976693888889	2.166256722222222
Bar McDonald's *Maremàgnum	Moll Espanya 5*6	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932258195		http://www.mcdonalds.es		41.37573091111111	2.1832132777777775
Restaurant Grill-Braseria	Moll Espanya 5*6	Ciutat Vella	08039	BARCELONA	ESPANYA					41.37573091111111	2.1832132777777775
Bar Nit i Dia *Maremàgnum	Moll Espanya 5*6	Ciutat Vella	08039	BARCELONA	ESPANYA	+34 932258001				41.37573091111111	2.1832132777777775
Bar restaurant Berlín	Muntaner 242	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932006542				41.394329347222225	2.149497361111111
Restaurant El Comedor	C Palau 6	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 933175405				41.38110431388889	2.1781321666666664
Restaurant Polenta	C Ample 51	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 932681429				41.381238269444445	2.1805003333333333
Bar Jupiter	Jupí 4	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 932683650				41.382098825	2.18008325
Bar Restaurant L'Hostal de la Bona Sort	C Carders 12	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 933105460				41.38608679722222	2.1802485833333334
Restaurant Lizarran *Sardenya	C Sardenya 324	Eixample	08025	BARCELONA	ESPANYA	+34 934462003	+34 902400046	http://www.grupolizarran.com	lizarransagradafamilia@yahoo.com	41.40382598611111	2.172937138888889	+34 934368707
Restaurant Coure	Ptge Marimon 20	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932007532			restaurantcoure@hotmail.com	41.39440351388889	2.147880222222222
Restaurant Farga *Beethoven	C Beethoven 11	Sarrià-Sant Gervasi	08021	BARCELONA	ESPANYA	+34 932402044	+34 934146519			41.39308124722222	2.1405547222222223
Restaurant Asador de Aranda *Pau Claris	C Pau Claris 70	Eixample	08010	BARCELONA	ESPANYA	+34 933425577	+34 933425578		asador@asadoraranda.com	41.38921386388889	2.171962388888889
Restaurant Foster's Hollywood *Pg M Girona	Pg Manuel Girona 38*LB	Les Corts	08034	BARCELONA	ESPANYA	+34 932806153	+34 932060174	http://www.fostershollywood.es	fostershollywood@fostershollywood.es	41.390579880555556	2.123404777777778
Restaurant Foster's Hollywood *La Maquinista	Pg Potosí 2	Sant Andreu	08030	BARCELONA	ESPANYA	+34 933608851	+34 933608852	http://www.fostershollywood.es	fostershollywood@fostershollywood.es	41.442532125	2.198353
Restaurant Foster's Hollywood *Heron City	Av Rio de Janeiro 42	Nou Barris	08016	BARCELONA	ESPANYA	+34 932761954	+34 932761962	http://www.fostershollywood.es	fostershollywood@fostershollywood.es	41.43509441944444	2.1810243333333332
Bar Restaurant La Tasqueta	Pallars 243	Sant Martí	08005	BARCELONA	ESPANYA	+34 933075901				41.40296381388889	2.200019611111111
Bar Restaurant Pita Inn *Heron City	Av Rio de Janeiro 42	Nou Barris	08016	BARCELONA	ESPANYA	+34 933010037				41.43509441944444	2.1810243333333332
Restaurant Bar Musical Imprevist	C Ferlandina 34	Ciutat Vella	08001	BARCELONA	ESPANYA	+34 933425859		http://www.imprevist.es		41.38169648888889	2.1645231944444445
Bar Restaurant Japonès Machiroku	C Moles 21	Ciutat Vella	08002	BARCELONA	ESPANYA	+34 934126082				41.38717027777778	2.1729170555555553
Bar cafeteria Il Caffè di Roma *Heron City	Av Rio de Janeiro 42	Nou Barris	08016	BARCELONA	ESPANYA	+34 932765126				41.43509441944444	2.1810243333333332
Restaurant Rodilla *Diagonal Mar	Av Diagonal 3	Sant Martí	08019	BARCELONA	ESPANYA	+34 933560413	+34 933562403			41.41097503333333	2.2185804444444446
Restaurant Little Italy *Av Marques de L'Argentera	Av Marquès de l'Argentera 19	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932687633	+34 934813071			41.38499712777778	2.185030111111111
Hotel Saint Moritz	C Diputació 262*264	Eixample	08007	BARCELONA	ESPANYA	+34 934121500	+34 934121236	http://www.hcchotels.com		41.39093758333333	2.1679429999999997
Bar Ca la Lluisa *Diagonal Mar	Av Diagonal 3	Sant Martí	08019	BARCELONA	ESPANYA	+34 935525617	+34 935525618			41.41097503333333	2.2185804444444446
Restaurant El Racó d'en José Luis II	C Salvador Espriu 61	Sant Martí	08005	BARCELONA	ESPANYA	+34 932211122	+34 902104143	http://www.accua.com		41.390896519444446	2.1978509444444443
Da Geppetto	Rbla Poblenou 27	Sant Martí	08005	BARCELONA	ESPANYA	+34 932254018				41.39898908333333	2.2035011944444447
Club Natació Atlètic - Barceloneta	Pl Mar 1	Ciutat Vella	08003	BARCELONA	ESPANYA	+34 932210387				41.375434713888886	2.1898365833333333
